,glass,balance-scale,parkinsons,parkinsons_full,iris,page-blocks,ecoli,machine,bupa,wine,segmentation_tes,segmentation_tra,transfusion_full,yeast,qsar_fish_toxicity,new-thyroid_full,breast-cancer-wisconsin,pendigits_tes,pendigits_tra,BreastTissue,vowel,letter-recognition,qsar_aquatic_toxicity,haberman_full,vehicle,child,earthquake,barley,magic-niab,asia,sangiovese,healthcare,hailfinder,survey,cancer,alarm,ecoli70,sachs,water,insurance,mildew
glass,0.0,1.7778390220854012,85.13137062282588,85.13144531678347,1.8843841924725049,1688.694077339337,2.2030728816288407,9041.523152661479,34.38137690054257,258.3173604149009,109.81899227493784,116.26756807146161,968.7431936642511,2.2287920561830554,1.4459289713168286,10.465794549302212,4.650086638316229,95.55879335870999,95.1856990401033,8243.023218833003,1.822515796228342,4.314349591266465,56.02178990822767,9.354423151391513,162.58190712934785,248.2533882438365,248.2548057839502,248.25415647155282,248.33147315324888,248.25371516335227,248.25377950418113,1048.0719584009996,1281.2881365062387,248.25382335665918,248.25373873532612,248.25425607599638,248.36360099349446,248.25289712076813,248.2554717754075,248.2556647714777,248.25426039032124
balance-scale,1.7778390220854012,0.0,85.48242127500494,85.4824952053815,1.6169369004474592,1689.5625028265774,1.9507773610804406,9042.341240010564,34.809591549550625,259.08467921245216,110.2008925430304,115.8362689254284,969.5875338657786,1.9904653959051763,1.0974484746610311,10.680156999164877,5.430892765704723,95.56524036895459,95.21563106882007,8244.011990769073,1.9362536809396094,4.127722704787514,56.711269248944326,9.508135479022382,163.20944598251543,248.7122699837064,248.71653384566784,248.71190210069705,248.76452716622128,248.71364731342885,248.71306395288838,1048.761906214412,1281.7391302929227,248.7136711304038,248.7147336364965,248.71239509971855,248.79971490445297,248.71316867414723,248.71172591961553,248.7119379111374,248.71210464016684
parkinsons,85.13137062282588,85.48242127500494,0.0,0.00010269823845559666,85.8683525223513,1630.5181233466785,86.97246895359451,8970.747596207593,57.65774863217962,200.06593202363203,63.44824279674941,105.96993240023663,906.7815995490304,87.02142198656472,85.71393687248786,77.88040736713678,81.66543278466247,65.31301518693178,58.203967723925125,8179.365539031024,84.67217623286584,81.95444148674989,42.828620788782594,77.45073490792127,103.0512291676561,195.13599205795796,195.27892073053647,195.1296617001798,194.573478792747,195.1946958132163,195.17962115059592,982.9237871376887,1220.4680042361967,195.2115869915812,195.2163923864067,195.1337116007536,194.3960920538596,195.1831509503989,195.05160856042897,195.10254551887542,195.14509409939265
parkinsons_full,85.13144531678347,85.4824952053815,0.00010269823845559666,0.0,85.86842719882118,1630.5180933184854,86.97254324376041,8970.747566130243,57.657825048167304,200.06593804966553,63.44827189484687,105.96990804187396,906.7815868511971,87.02149632820776,85.71401129805366,77.88048272027828,81.6655084145685,65.31302326593308,58.20395489840535,8179.365513434555,84.67225119523219,81.95451540156257,42.82871023236599,77.45081078064312,103.05123418953303,195.13600395322345,195.27893305410322,195.12967353177714,194.57348969404495,195.19470786707325,195.17963324121123,982.9237523073339,1220.4679907966467,195.21159913598856,195.2164045888855,195.13372358920182,194.3961025960406,195.1831630372159,195.05162032157247,195.1025573556064,195.14510608432425
iris,1.8843841924725049,1.6169369004474592,85.8683525223513,85.86842719882118,0.0,1689.5918051877495,1.7429134125168604,9042.292836701874,35.29799945769942,258.8577309301743,110.538496998939,116.87864663005494,969.2894966413762,1.6764102199783926,1.1679679507224716,10.812078288511772,5.403380651073291,96.22701179408851,95.82798342349243,8243.959420736282,1.812325778181906,4.866631150793883,56.76343484033875,9.874770118881782,163.21788208930028,248.22903976452585,248.227832982717,248.2318251699899,248.34640280436585,248.22644076522013,248.22819267419723,1049.0473941202763,1281.250703042303,248.22725811065152,248.2272468748437,248.23206224090427,248.3936100493758,248.22886103872636,248.23887579830844,248.23264378145,248.22833389056962
page-blocks,1688.694077339337,1689.5625028265774,1630.5181233466785,1630.5180933184854,1689.5918051877495,1.8160481875661026e-16,1690.4124499849438,7677.73580206626,1661.5564149961176,1496.6283000397652,674.9265125957606,1637.2550865329736,956.0028723756147,1690.4420257511952,1689.487649513087,1682.6062668811287,1685.4445427132757,515.4291315776635,393.0368283399427,6645.3967088116915,1688.7353227916517,250.34431326571283,1642.0819830059556,1683.458800397058,1570.6791724469492,1537.979444456966,857.8495478526773,849.7417218264663,827.6259587153157,1538.0402663574316,866.4974524222059,918.9610734902549,1400.517458281177,1538.0441051489308,847.5442163359746,1537.9779822093767,1537.3226367708326,875.2728897126931,852.3847615390582,1537.961853777226,1537.997424496587
ecoli,2.2030728816288407,1.9507773610804406,86.97246895359451,86.97254324376041,1.7429134125168604,1690.4124499849438,0.0,9043.421981648018,36.35207342281573,260.1067496031336,111.69586067770568,117.42929545919803,970.4316733351568,0.4817853536500317,1.5653572452896822,11.978970325238516,6.5039100185337135,97.36251468518952,96.9756168213916,8244.862221999478,2.8296039503803363,5.542880525390134,57.95950921820709,11.129584628313758,164.47546530263344,249.65909727550823,249.65338096956,249.66157284451137,249.78309443584644,249.65571005610056,249.65640098667393,1049.8498219494627,1282.6845002039674,249.65497207304875,249.65405038487967,249.660028697574,249.8339673567909,249.65580644786067,249.6681532761403,249.6636090978608,249.65839558867603
machine,9041.523152661479,9042.341240010564,8970.747596207593,8970.747566130243,9042.292836701874,7677.73580206626,9043.421981648018,0.0,9012.141484510274,8789.905414107225,8955.220621101013,8990.720117962936,8086.387783374418,9043.419633129324,9042.275487919089,9033.338232135611,9037.237460540111,8977.917394238175,8977.656887213498,4408.071317355093,9041.063424618262,5096.829399964882,8987.198045160032,9034.255481201692,8885.600209554756,8821.399535188946,8821.486437269743,8821.396933316457,8820.893181543652,8821.43052878119,8821.42256681271,8142.107322422958,7921.759340443117,8821.452192408398,8821.464135703527,8821.408187129105,8820.711744130773,8821.429796207442,8821.324799106553,8821.383518901126,8821.420746090538
bupa,34.38137690054257,34.809591549550625,57.65774863217962,57.657825048167304,35.29799945769942,1661.5564149961176,36.35207342281573,9012.141484510274,0.0,232.72284163091697,79.55078676651412,100.37546565155648,942.9113783553879,36.40823268569008,35.05613398850465,26.938730424736175,30.831640104915362,67.94257149540533,67.64677267516205,8214.492194546343,34.06216615181841,29.455831935777343,30.69514242210088,26.702730482187462,134.4906368358386,226.22359739804412,226.309649292907,226.2038055071698,225.99427935043025,226.25827249850022,226.25599945918475,1017.7187627982113,1258.4498350176304,226.27020840939522,226.27854395386663,226.21464665437418,225.95223060019927,226.25061242265812,226.18182169754877,226.20364278841882,226.22705832780144
wine,258.3173604149009,259.08467921245216,200.06593202363203,200.06593804966553,258.8577309301743,1496.6283000397652,260.1067496031336,8789.905414107225,232.72284163091697,0.0,197.91525981813442,258.20852397116107,712.8313626574321,260.08875678597366,258.9338302373387,250.3105951538446,254.17328798877364,221.18428612773764,218.2756962382646,8012.236494577219,257.66614127650297,177.88786887478219,206.58186712503988,251.11236700083066,107.78765934059798,65.38838044483434,65.51416849514239,65.4084073924744,65.11792546310146,65.45033147266089,65.43737452397755,856.3848910357273,1035.716441410065,65.47899107942047,65.48638129406379,65.38277165685747,65.07916687416706,65.4364435156737,65.36111856430664,65.37464127200587,65.4292596395867
segmentation_tes,109.81899227493784,110.2008925430304,63.44824279674941,63.44827189484687,110.538496998939,674.9265125957606,111.69586067770568,8955.220621101013,79.55078676651412,197.91525981813442,0.0,107.31127708892082,899.2285970209131,111.70236191081607,110.4234487906419,101.2416988104613,106.54217672385066,64.08694271740464,56.4188639694733,8163.567942033596,109.37952343186502,43.61936657317779,68.53715413809996,101.94547969826678,104.12930989167374,196.20899270914907,196.54368646352842,196.1523138211381,195.2248992223021,196.32690891493817,196.31457518700984,961.1628083213469,1216.3126906871885,196.39697482030488,196.429007794062,196.222777469991,194.91431063757528,196.32236148232374,196.02174703540834,196.17349402316069,196.25036538315803
segmentation_tra,116.26756807146161,115.8362689254284,105.96993240023663,105.96990804187396,116.87864663005494,1637.2550865329736,117.42929545919803,8990.720117962936,100.37546565155648,258.20852397116107,107.31127708892082,0.0,946.0696996280262,117.421512564138,116.50488110260486,112.69539999840362,114.38935401919538,81.5877848674671,84.14756429067653,8196.774529704766,116.16722209209402,102.30529488931784,110.3047059595185,111.90539991117791,167.73410680721236,258.1083297851462,258.34451917466595,258.0358670759799,257.14212534818535,258.2133131307001,258.19778477130444,993.0428378992054,1261.4265327878843,258.22476071388485,258.2328685778175,258.0823929314372,256.9572471347631,258.17713362380687,257.996887830586,258.04094488293845,258.10101234509943
transfusion_full,968.7431936642511,969.5875338657786,906.7815995490304,906.7815868511971,969.2894966413762,956.0028723756147,970.4316733351568,8086.387783374418,942.9113783553879,712.8313626574321,899.2285970209131,946.0696996280262,7.124425826471592e-18,970.4248367136476,969.3768359423618,961.0133917768715,964.4564984291727,922.5290772432473,919.4661155915215,7320.67080933084,968.1064267560503,350.57101487825014,917.1960473797606,962.1803591999144,812.1933934430006,749.2160151544499,749.256995218991,749.2117936956681,749.0880687151817,749.2345637445063,749.2294674340062,525.9398617247058,664.3334089488899,749.2388385217372,749.2441203524809,749.2218052024816,749.048173155625,749.2309281815701,749.1994235407668,749.2132590895555,749.2219325967966
yeast,2.2287920561830554,1.9904653959051763,87.02142198656472,87.02149632820776,1.6764102199783926,1690.4420257511952,0.4817853536500317,9043.419633129324,36.40823268569008,260.08875678597366,111.70236191081607,117.421512564138,970.4248367136476,0.0,1.6015153114722747,12.018713244803191,6.522689994106347,97.41801835729575,97.02941725505558,8244.877902205366,2.847707705970482,3.159070700054924,57.96547293771505,11.161502990963585,164.44291008124873,249.65067050508605,249.64400218281676,249.65301214321076,249.77846510671748,249.64589901098302,249.6469454742745,1049.9106465166683,1282.675444232392,249.64561029078055,249.64473793570517,249.65253565291945,249.82864384629102,249.64690317664997,249.65981435132213,249.6562912147976,249.6490049797102
qsar_fish_toxicity,1.4459289713168286,1.0974484746610311,85.71393687248786,85.71401129805366,1.1679679507224716,1689.487649513087,1.5653572452896822,9042.275487919089,35.05613398850465,258.9338302373387,110.4234487906419,116.50488110260486,969.3768359423618,1.6015153114722747,0.0,10.677742463233582,5.301211664101835,95.96471022907296,95.64407750574605,8243.891679796734,1.6110566646332476,4.4265444858657546,56.71442863884931,9.718161065252518,163.19159891014175,248.50869908916684,248.50984190204755,248.50974854617297,248.59150394684983,248.5087933320757,248.50865527784853,1048.8316233792045,1281.537156158302,248.50860339505638,248.50919919732777,248.50905115589433,248.62733915846857,248.5082599890008,248.51118195682974,248.5095572156627,248.50886976577206
new-thyroid_full,10.465794549302212,10.680156999164877,77.88040736713678,77.88048272027828,10.812078288511772,1682.6062668811287,11.978970325238516,9033.338232135611,26.938730424736175,250.3105951538446,101.2416988104613,112.69539999840362,961.0133917768715,12.018713244803191,10.677742463233582,0.0,8.734835119776283,87.14103322294768,86.62676975613499,8235.920520265805,9.561697481325785,8.188253122512931,47.92038204113362,5.843524496696383,153.90754772168623,239.93205270879992,239.94071973854238,239.9303408059765,239.94161495395582,239.93551176859464,239.93386968490415,1040.723332472982,1272.8700127684979,239.93653095394384,239.9378463726809,239.92856228998383,239.97504790796464,239.93206989930025,239.92684932895378,239.9315416889082,239.93320909032283
breast-cancer-wisconsin,4.650086638316229,5.430892765704723,81.66543278466247,81.6655084145685,5.403380651073291,1685.4445427132757,6.5039100185337135,9037.237460540111,30.831640104915362,254.17328798877364,106.54217672385066,114.38935401919538,964.4564984291727,6.522689994106347,5.301211664101835,8.734835119776283,2.438215302261618e-18,92.32703435140823,91.89203701549991,8239.280126788357,4.279518047784523,4.583604861058583,52.0189181723511,6.683778517311517,158.30661307888965,244.6376329139406,244.64162135314768,244.63668143496355,244.68321118950894,244.63846294813473,244.63795372874733,1044.9404486261728,1277.678632002637,244.6377297745089,244.63883518984593,244.63684774960427,244.7159225707751,244.63734596980845,244.63671677504635,244.63657164660688,244.6358696146499
pendigits_tes,95.55879335870999,95.56524036895459,65.31301518693178,65.31302326593308,96.22701179408851,515.4291315776635,97.36251468518952,8977.917394238175,67.94257149540533,221.18428612773764,64.08694271740464,81.5877848674671,922.5290772432473,97.41801835729575,95.96471022907296,87.14103322294768,92.32703435140823,0.0,43.582288296091306,8190.814142017782,95.02786087508314,56.49601898626328,66.27993869880395,87.39207548095764,121.84580128454682,212.57362928675624,212.9171226485141,212.5039521574951,211.38195162297177,212.72269292396618,212.7028444249621,987.1464279247949,1231.8399895695522,212.74678406793925,212.7869348299215,212.55079165659103,211.04579225628805,212.6765659195369,212.3888353177539,212.49081607214166,212.58790212762435
pendigits_tra,95.1856990401033,95.21563106882007,58.203967723925125,58.20395489840535,95.82798342349243,393.0368283399427,96.9756168213916,8977.656887213498,67.64677267516205,218.2756962382646,56.4188639694733,84.14756429067653,919.4661155915215,97.02941725505558,95.64407750574605,86.62676975613499,91.89203701549991,43.582288296091306,0.0,8186.8651701398,94.7281700777791,41.74591508861242,66.66865150869525,86.78385137261424,120.09131589785187,205.68802555773715,212.69009493198894,206.9509704743387,211.21369272246883,205.11643974369017,210.7476295068679,985.0258638179643,1018.1669747264098,211.42854696358762,211.41413065582927,206.39005635156244,210.88184108751813,211.7761093907428,208.21504035773916,207.36935405172085,205.77368383437127
BreastTissue,8243.023218833003,8244.011990769073,8179.365539031024,8179.365513434555,8243.959420736282,6645.3967088116915,8244.862221999478,4408.071317355093,8214.492194546343,8012.236494577219,8163.567942033596,8196.774529704766,7320.67080933084,8244.877902205366,8243.891679796734,8235.920520265805,8239.280126788357,8190.814142017782,8186.8651701398,0.0,8242.908598238786,4535.223195486935,8191.921268152677,8236.959308209221,8102.377959300011,8054.689708399721,8054.765778197039,8054.656168020685,8054.327190885052,8054.726880042742,8054.711213960221,7284.515539080574,7318.145510712704,8054.736720355554,8054.742509072318,8054.692860112881,8054.187066788297,8054.7058211647045,8054.6229234908515,8054.663767076012,8054.703799889895
