,glass,balance-scale,parkinsons,parkinsons_full,iris,page-blocks,ecoli,machine,bupa,wine,segmentation_tes,segmentation_tra,transfusion_full,yeast,qsar_fish_toxicity,new-thyroid_full,breast-cancer-wisconsin,pendigits_tes,pendigits_tra,BreastTissue,vowel,letter-recognition,qsar_aquatic_toxicity,haberman_full,vehicle,child,earthquake,barley,magic-niab,asia,sangiovese,healthcare,hailfinder,survey,cancer,alarm,ecoli70,sachs,water,insurance,mildew
vowel,1.822515796228342,1.9362536809396094,84.67217623286584,84.67225119523219,1.812325778181906,1688.7353227916517,2.8296039503803363,9041.063424618262,34.06216615181841,257.66614127650297,109.37952343186502,116.16722209209402,968.1064267560503,2.847707705970482,1.6110566646332476,9.561697481325785,4.279518047784523,95.02786087508314,94.7281700777791,8242.908598238786,0.0,3.7877198973533655,55.50951040222265,8.639741835558638,161.95585503690296,247.14011533138407,247.14185203586894,247.1404746057544,247.2262621741347,247.1401469912606,247.14003206596095,1048.0405654881117,1280.1674670959076,247.13996740128502,247.1404503382204,247.14134048966045,247.26927542423957,247.13955126652496,247.1428788452541,247.14157629795469,247.1399580960533
letter-recognition,4.314349591266465,4.127722704787514,81.95444148674989,81.95451540156257,4.866631150793883,250.34431326571283,5.542880525390134,5096.829399964882,29.455831935777343,177.88786887478219,43.61936657317779,102.30529488931784,350.57101487825014,3.159070700054924,4.4265444858657546,8.188253122512931,4.583604861058583,56.49601898626328,41.74591508861242,4535.223195486935,3.7877198973533655,0.0,38.92587110203223,6.240929876620658,71.68883749978127,126.44313311539024,127.48022640018495,124.04798394183679,128.76155705017345,121.54166631799666,125.3373422751217,369.2015774089096,518.3914431494451,126.7179350024502,126.39752338912264,125.86830188398017,121.40507002096231,131.26306030069463,131.2735106747416,122.55851401005195,122.31588645416137
qsar_aquatic_toxicity,56.02178990822767,56.711269248944326,42.828620788782594,42.82871023236599,56.76343484033875,1642.0819830059556,57.95950921820709,8987.198045160032,30.69514242210088,206.58186712503988,68.53715413809996,110.3047059595185,917.1960473797606,57.96547293771505,56.71442863884931,47.92038204113362,52.0189181723511,66.27993869880395,66.66865150869525,8191.921268152677,55.50951040222265,38.92587110203223,0.0,48.11512341218589,110.32015552458584,200.07437834363387,200.1227187564516,200.07126453116913,199.98030733467817,200.09609027333067,200.09473700171634,999.0387816710793,1231.91317179397,200.10566639095606,200.11070973457404,200.0747507562922,199.96069472094334,200.09133133849932,200.04528689865262,200.07567258225927,200.08616140892522
haberman_full,9.354423151391513,9.508135479022382,77.45073490792127,77.45081078064312,9.874770118881782,1683.458800397058,11.129584628313758,9034.255481201692,26.702730482187462,251.11236700083066,101.94547969826678,111.90539991117791,962.1803591999144,11.161502990963585,9.718161065252518,5.843524496696383,6.683778517311517,87.39207548095764,86.78385137261424,8236.959308209221,8.639741835558638,6.240929876620658,48.11512341218589,0.0,154.88484870824388,241.2374762401825,241.25954240736252,241.23312801230023,241.20677498500004,241.24685936398092,241.24508010934585,1041.8302730945375,1274.2016626716422,241.24889055112556,241.25169039043632,241.23383477132154,241.2163295036234,241.24051324423135,241.22586882160783,241.2337425347291,241.2392788280845
vehicle,162.58190712934785,163.20944598251543,103.0512291676561,103.05123418953303,163.21788208930028,1570.6791724469492,164.47546530263344,8885.600209554756,134.4906368358386,107.78765934059798,104.12930989167374,167.73410680721236,812.1933934430006,164.44291008124873,163.19159891014175,153.90754772168623,158.30661307888965,121.84580128454682,120.09131589785187,8102.377959300011,161.95585503690296,71.68883749978127,110.32015552458584,154.88484870824388,0.0,116.43399476527523,116.66789157974988,116.39487173434635,115.69491245228735,116.53339987897387,116.52046455212799,927.6526992695242,1137.9166910435133,116.55798848591257,116.58036667218687,116.44966627404784,115.55655126006103,116.50525639565444,116.33130673208323,116.3851336213451,116.45778528117825
child,248.2533882438365,248.7122699837064,195.13599205795796,195.13600395322345,248.22903976452585,1537.979444456966,249.65909727550823,8821.399535188946,226.22359739804412,65.38838044483434,196.20899270914907,258.1083297851462,749.2160151544499,249.65067050508605,248.50869908916684,239.93205270879992,244.6376329139406,212.57362928675624,205.68802555773715,8054.689708399721,247.14011533138407,126.44313311539024,200.07437834363387,241.2374762401825,116.43399476527523,0.0,1.2067812780587681,1.5399234712101637,4.125041416622817,1.261606938988326,1.3056599662095913,898.3134695267009,1033.0608139501699,1.2952166789317394,1.246342608797374,1.4851124356946266,4.871336262325385,1.3526648558370264,1.706887714100728,1.5446539890993904,1.4083611232921878
earthquake,248.2548057839502,248.71653384566784,195.27892073053647,195.27893305410322,248.227832982717,857.8495478526773,249.65338096956,8821.486437269743,226.309649292907,65.51416849514239,196.54368646352842,258.34451917466595,749.256995218991,249.64400218281676,248.50984190204755,239.94071973854238,244.64162135314768,212.9171226485141,212.69009493198894,8054.765778197039,247.14185203586894,127.48022640018495,200.1227187564516,241.25954240736252,116.66789157974988,1.2067812780587681,0.0,1.4400300413265208,4.472370796646524,0.8302648592787966,0.8595876903706228,898.7142093628579,1033.0611025670958,0.7147761090643867,0.6533564986929414,1.2844371968061696,5.277659573265391,0.9229857826154447,1.6879550829751007,1.4294341923671596,1.165556767963984
barley,248.25415647155282,248.71190210069705,195.1296617001798,195.12967353177714,248.2318251699899,849.7417218264663,249.66157284451137,8821.396933316457,226.2038055071698,65.4084073924744,196.1523138211381,258.0358670759799,749.2117936956681,249.65301214321076,248.50974854617297,239.9303408059765,244.63668143496355,212.5039521574951,206.9509704743387,8054.656168020685,247.1404746057544,124.04798394183679,200.07126453116913,241.23312801230023,116.39487173434635,1.5399234712101637,1.4400300413265208,0.0,4.042757564013401,1.44252814383349,1.4712885783557597,898.242249069066,1033.0605626277015,1.4700453994233795,1.4468729296707095,1.6240252922919098,4.764364942864687,1.5145297354315939,1.760887266929466,1.6075578119933334,1.512835138138742
magic-niab,248.33147315324888,248.76452716622128,194.573478792747,194.57348969404495,248.34640280436585,827.6259587153157,249.78309443584644,8820.893181543652,225.99427935043025,65.11792546310146,195.2248992223021,257.14212534818535,749.0880687151817,249.77846510671748,248.59150394684983,239.94161495395582,244.68321118950894,211.38195162297177,211.21369272246883,8054.327190885052,247.2262621741347,128.76155705017345,199.98030733467817,241.20677498500004,115.69491245228735,4.125041416622817,4.472370796646524,4.042757564013401,0.0,4.2717782570282825,4.2536768422673035,897.0255510583946,1033.0786706316064,4.320630301273404,4.365491066363898,4.105244287835218,4.313182666269402,4.212416611598369,3.9500750974977006,4.062301880682289,4.150015551023317
asia,248.25371516335227,248.71364731342885,195.1946958132163,195.19470786707325,248.22644076522013,1538.0402663574316,249.65571005610056,8821.43052878119,226.25827249850022,65.45033147266089,196.32690891493817,258.2133131307001,749.2345637445063,249.64589901098302,248.5087933320757,239.93551176859464,244.63846294813473,212.72269292396618,205.11643974369017,8054.726880042742,247.1401469912606,121.54166631799666,200.09609027333067,241.24685936398092,116.53339987897387,1.261606938988326,0.8302648592787966,1.44252814383349,4.2717782570282825,0.0,1.0121652665789445,898.4699629125757,1033.059094320716,0.9456578518720568,0.9246968387711543,1.3446814954954844,5.0465699306926,1.112983798392867,1.6471516478140966,1.4442044889920265,1.2259358083715888
sangiovese,248.25377950418113,248.71306395288838,195.17962115059592,195.17963324121123,248.22819267419723,866.4974524222059,249.65640098667393,8821.42256681271,226.25599945918475,65.43737452397755,196.31457518700984,258.19778477130444,749.2294674340062,249.6469454742745,248.50865527784853,239.93386968490415,244.63795372874733,212.7028444249621,210.7476295068679,8054.711213960221,247.14003206596095,125.3373422751217,200.09473700171634,241.24508010934585,116.52046455212799,1.3056599662095913,0.8595876903706228,1.4712885783557597,4.2536768422673035,1.0121652665789445,0.0,898.4506979728035,1033.0604127608017,0.9998403284380069,0.9748045853127144,1.3781459947236838,5.008831354555946,1.1433893901512169,1.6713075977997045,1.48831973266547,1.2485297697873898
healthcare,1048.0719584009996,1048.761906214412,982.9237871376887,982.9237523073339,1049.0473941202763,918.9610734902549,1049.8498219494627,8142.107322422958,1017.7187627982113,856.3848910357273,961.1628083213469,993.0428378992054,525.9398617247058,1049.9106465166683,1048.8316233792045,1040.723332472982,1044.9404486261728,987.1464279247949,985.0258638179643,7284.515539080574,1048.0405654881117,369.2015774089096,999.0387816710793,1041.8302730945375,927.6526992695242,898.3134695267009,898.7142093628579,898.242249069066,897.0255510583946,898.4699629125757,898.4506979728035,0.0,1077.4215589190087,898.5256686493767,898.5669365014908,898.3252924236932,896.667983848734,898.4452305925555,898.1076861456199,898.2545915631176,898.3534947341996
hailfinder,1281.2881365062387,1281.7391302929227,1220.4680042361967,1220.4679907966467,1281.250703042303,1400.517458281177,1282.6845002039674,7921.759340443117,1258.4498350176304,1035.716441410065,1216.3126906871885,1261.4265327878843,664.3334089488899,1282.675444232392,1281.537156158302,1272.8700127684979,1277.678632002637,1231.8399895695522,1018.1669747264098,7318.145510712704,1280.1674670959076,518.3914431494451,1231.91317179397,1274.2016626716422,1137.9166910435133,1033.0608139501699,1033.0611025670958,1033.0605626277015,1033.0786706316064,1033.059094320716,1033.0604127608017,1077.4215589190087,0.0,1033.0599587027239,1033.0593461972817,1033.0594513408532,1033.0812340434545,1033.0601337663736,1033.061307082936,1033.0598718789868,1033.0602162234052
survey,248.25382335665918,248.7136711304038,195.2115869915812,195.21159913598856,248.22725811065152,1538.0441051489308,249.65497207304875,8821.452192408398,226.27020840939522,65.47899107942047,196.39697482030488,258.22476071388485,749.2388385217372,249.64561029078055,248.50860339505638,239.93653095394384,244.6377297745089,212.74678406793925,211.42854696358762,8054.736720355554,247.13996740128502,126.7179350024502,200.10566639095606,241.24889055112556,116.55798848591257,1.2952166789317394,0.7147761090643867,1.4700453994233795,4.320630301273404,0.9456578518720568,0.9998403284380069,898.5256686493767,1033.0599587027239,0.0,0.8462798959968514,1.344011370493205,5.11854071530104,1.06094882459304,1.714677885675001,1.43677417037746,1.2092615943616196
cancer,248.25373873532612,248.7147336364965,195.2163923864067,195.2164045888855,248.2272468748437,847.5442163359746,249.65405038487967,8821.464135703527,226.27854395386663,65.48638129406379,196.429007794062,258.2328685778175,749.2441203524809,249.64473793570517,248.50919919732777,239.9378463726809,244.63883518984593,212.7869348299215,211.41413065582927,8054.742509072318,247.1404503382204,126.39752338912264,200.11070973457404,241.25169039043632,116.58036667218687,1.246342608797374,0.6533564986929414,1.4468729296707095,4.365491066363898,0.9246968387711543,0.9748045853127144,898.5669365014908,1033.0593461972817,0.8462798959968514,0.0,1.3234731639809407,5.151526907698923,1.0066604856005756,1.6859401817798245,1.4441569282364946,1.1822327942953816
alarm,248.25425607599638,248.71239509971855,195.1337116007536,195.13372358920182,248.23206224090427,1537.9779822093767,249.660028697574,8821.408187129105,226.21464665437418,65.38277165685747,196.222777469991,258.0823929314372,749.2218052024816,249.65253565291945,248.50905115589433,239.92856228998383,244.63684774960427,212.55079165659103,206.39005635156244,8054.692860112881,247.14134048966045,125.86830188398017,200.0747507562922,241.23383477132154,116.44966627404784,1.4851124356946266,1.2844371968061696,1.6240252922919098,4.105244287835218,1.3446814954954844,1.3781459947236838,898.3252924236932,1033.0594513408532,1.344011370493205,1.3234731639809407,0.0,4.85983743916155,1.3999650012414904,1.7871915174002182,1.5378118269689054,1.4844371244252128
ecoli70,248.36360099349446,248.79971490445297,194.3960920538596,194.3961025960406,248.3936100493758,1537.3226367708326,249.8339673567909,8820.711744130773,225.95223060019927,65.07916687416706,194.91431063757528,256.9572471347631,749.048173155625,249.82864384629102,248.62733915846857,239.97504790796464,244.7159225707751,211.04579225628805,210.88184108751813,8054.187066788297,247.26927542423957,121.40507002096231,199.96069472094334,241.2163295036234,115.55655126006103,4.871336262325385,5.277659573265391,4.764364942864687,4.313182666269402,5.0465699306926,5.008831354555946,896.667983848734,1033.0812340434545,5.11854071530104,5.151526907698923,4.85983743916155,0.0,4.98337757446099,4.641838918297701,4.7985633064407125,4.920413350104027
sachs,248.25289712076813,248.71316867414723,195.1831509503989,195.1831630372159,248.22886103872636,875.2728897126931,249.65580644786067,8821.429796207442,226.25061242265812,65.4364435156737,196.32236148232374,258.17713362380687,749.2309281815701,249.64690317664997,248.5082599890008,239.93206989930025,244.63734596980845,212.6765659195369,211.7761093907428,8054.7058211647045,247.13955126652496,131.26306030069463,200.09133133849932,241.24051324423135,116.50525639565444,1.3526648558370264,0.9229857826154447,1.5145297354315939,4.212416611598369,1.112983798392867,1.1433893901512169,898.4452305925555,1033.0601337663736,1.06094882459304,1.0066604856005756,1.3999650012414904,4.98337757446099,0.0,1.7152058768109737,1.4712679351315772,1.2895512336461128
water,248.2554717754075,248.71172591961553,195.05160856042897,195.05162032157247,248.23887579830844,852.3847615390582,249.6681532761403,8821.324799106553,226.18182169754877,65.36111856430664,196.02174703540834,257.996887830586,749.1994235407668,249.65981435132213,248.51118195682974,239.92684932895378,244.63671677504635,212.3888353177539,208.21504035773916,8054.6229234908515,247.1428788452541,131.2735106747416,200.04528689865262,241.22586882160783,116.33130673208323,1.706887714100728,1.6879550829751007,1.760887266929466,3.9500750974977006,1.6471516478140966,1.6713075977997045,898.1076861456199,1033.061307082936,1.714677885675001,1.6859401817798245,1.7871915174002182,4.641838918297701,1.7152058768109737,0.0,1.7936621685130998,1.718062609259385
insurance,248.2556647714777,248.7119379111374,195.10254551887542,195.1025573556064,248.23264378145,1537.961853777226,249.6636090978608,8821.383518901126,226.20364278841882,65.37464127200587,196.17349402316069,258.04094488293845,749.2132590895555,249.6562912147976,248.5095572156627,239.9315416889082,244.63657164660688,212.49081607214166,207.36935405172085,8054.663767076012,247.14157629795469,122.55851401005195,200.07567258225927,241.2337425347291,116.3851336213451,1.5446539890993904,1.4294341923671596,1.6075578119933334,4.062301880682289,1.4442044889920265,1.48831973266547,898.2545915631176,1033.0598718789868,1.43677417037746,1.4441569282364946,1.5378118269689054,4.7985633064407125,1.4712679351315772,1.7936621685130998,0.0,1.505745253555248
mildew,248.25426039032124,248.71210464016684,195.14509409939265,195.14510608432425,248.22833389056962,1537.997424496587,249.65839558867603,8821.420746090538,226.22705832780144,65.4292596395867,196.25036538315803,258.10101234509943,749.2219325967966,249.6490049797102,248.50886976577206,239.93320909032283,244.6358696146499,212.58790212762435,205.77368383437127,8054.703799889895,247.1399580960533,122.31588645416137,200.08616140892522,241.2392788280845,116.45778528117825,1.4083611232921878,1.165556767963984,1.512835138138742,4.150015551023317,1.2259358083715888,1.2485297697873898,898.3534947341996,1033.0602162234052,1.2092615943616196,1.1822327942953816,1.4844371244252128,4.920413350104027,1.2895512336461128,1.718062609259385,1.505745253555248,0.0
